iter	RMSE
0	6.677698747
1	4.31466444
2	2.792665741
3	1.894789585
4	1.396744357
5	1.125470845
6	0.982507627
7	0.8966046813
8	0.8407935094
9	0.7934181139
10	0.7570621048
11	0.7214485135
12	0.6917792876
13	0.6634808457
14	0.6451753248
15	0.6314395624
16	0.6203535476
17	0.6069406604
18	0.5906100137
19	0.5775535353
20	0.5620907406
21	0.5473512755
22	0.5383356361
23	0.5291994572
24	0.5193262619
25	0.5072583782
26	0.4968335547
27	0.4865230594
28	0.4787854934
29	0.467181913
30	0.4569082479
31	0.4481716134
32	0.4447521561
33	0.4396138635
34	0.4321443013
35	0.4278595346
36	0.4180417601
37	0.4157561703
38	0.4112303189
39	0.405765224
40	0.4031361612
41	0.3949687125
42	0.3890605603
43	0.3874779235
44	0.3835454545
45	0.380559245
46	0.3743773619
47	0.3733833625
48	0.3700627193
49	0.3640603364
50	0.3630680403
51	0.3596611755
52	0.3586994736
53	0.3561462781
54	0.3537880466
55	0.3487595402
56	0.3470517657
57	0.3467065868
58	0.3457381262
59	0.3431521707
60	0.3413187804
61	0.3396977544
62	0.338319052
63	0.3346925771
64	0.3333561966
65	0.3302813935
66	0.3280824188
67	0.3263261763
68	0.3239020198
69	0.3222295407
70	0.3215094199
71	0.3189936441
72	0.3169291644
73	0.3164474946
74	0.3147992695
75	0.3131451169
76	0.3111041901
77	0.3097090121
78	0.308945976
79	0.306655942
80	0.3061841264
81	0.3051244223
82	0.3042158121
83	0.3022001649
84	0.2993561207
85	0.2978250092
86	0.2959411653
87	0.2952445361
88	0.2937324966
89	0.292792209
90	0.2923972024
91	0.2911313148
92	0.2899897942
93	0.2891627789
94	0.288952344
95	0.2880502985
96	0.2866197474
97	0.2860468056
98	0.2851003515
99	0.2839873562
