iter	Passed	Remaining
0	62	6176
1	64	3176
2	67	2196
3	71	1718
4	75	1431
5	77	1220
6	80	1066
7	82	952
8	85	863
9	87	791
10	90	729
11	94	693
12	98	657
13	101	621
14	104	594
15	108	567
16	111	542
17	113	517
18	116	494
19	118	474
20	121	456
21	123	439
22	126	423
23	129	408
24	131	395
25	134	382
26	137	371
27	139	359
28	142	348
29	145	338
30	147	328
31	149	318
32	152	308
33	153	298
34	155	289
35	157	280
36	160	273
37	162	264
38	164	257
39	166	249
40	168	242
41	170	235
42	172	228
43	174	221
44	176	215
45	178	209
46	180	203
47	182	197
48	184	192
49	187	187
50	189	181
51	191	176
52	193	171
53	195	166
54	196	161
55	198	156
56	201	151
57	202	146
58	204	142
59	206	137
60	208	133
61	209	128
62	211	124
63	212	119
64	214	115
65	216	111
66	217	107
67	219	103
68	221	99
69	222	95
70	224	91
71	226	87
72	227	84
73	229	80
74	230	76
75	232	73
76	234	69
77	235	66
78	237	63
79	239	59
80	240	56
81	242	53
82	243	49
83	246	46
84	248	43
85	250	40
86	252	37
87	254	34
88	256	31
89	258	28
90	260	25
91	262	22
92	264	19
93	266	17
94	268	14
95	270	11
96	272	8
97	274	5
98	276	2
99	278	0
